Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
2,4,7,994,10,0.05919890760127449,4,4,0.85,12,200,500,"3-Random","1-(s,Q)",0.0018587301138461,0.030915613370854012,0.0,0.08603856071311226,0.15719148872298105,0.12945447989711276,0.6273154706667939
3,8,1,199,9,0.03896222121074192,4,4,0.85,3,200,500,"1-DailyPurchase","1-(s,Q)",0.0,0.004417274699270361,0.026697124925008076,0.006577543946240368,0.19226751971147674,0.07933166362755448,0.7218232727147285
1,9,5,1392,4,0.024583522985889852,4,4,0.85,10,200,500,"3-Random","4-Random",0.0008375479320283322,0.0901534366601246,0.08710245603594736,0.11221002369696526,0.35593336980771556,0.1618320602469836,0.3700245462483356
3,8,10,933,6,0.05174328629949933,4,4,0.85,5,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0008099745291825146,0.06248856224210778,0.022667491226075184,0.03841343730611696,0.20245732400388536,0.1395126246360062,0.6196166140539915
3,10,29,566,8,0.04535275375512062,4,4,0.85,11,200,500,"3-Random","4-Random",0.0019460407564152156,0.09747812393110174,0.04150327100389818,0.030960788362809934,0.18456794995211803,0.19192701907112608,0.592544242613946
2,2,39,505,4,0.03789713245334547,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0020474683700740658,0.08255224364431754,0.1998114430709434,0.04103445864201626,0.16611683431988514,0.3811262248890377,0.4117224821490608
1,3,18,1147,7,0.05866636322257626,4,4,0.85,6,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0012307500871909104,0.05023710183299516,0.020556434076926273,0.06961321118352162,0.2163422130711359,0.26963874792023684,0.4444058278251056
1,3,9,413,10,0.04588529813381885,4,4,0.85,3,200,500,"1-DailyPurchase","2-(s,S)",0.00048581361876725784,0.07778001857057026,0.01489807145179417,0.008697017147584021,0.2441853432660521,0.23167737169893715,0.5154402678874267
2,6,12,876,9,0.025648611743286302,4,4,0.85,8,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0007078694810860727,0.05595595280156452,0.028391135622827187,0.04144428003479211,0.27292021859689664,0.20050617781314434,0.4851293235551669
1,5,30,168,14,0.07996813837050525,4,4,0.85,14,200,500,"1-DailyPurchase","1-(s,Q)",0.0017219757614810776,0.11342564051981358,0.008859029194710238,0.014848463236926535,0.24549958488684123,0.3292511815883317,0.41040077028790056
2,8,38,382,1,0.08689121529358218,4,4,0.85,14,200,500,"1-DailyPurchase","1-(s,Q)",0.0149882819973216,0.14970741880618774,0.37177131576949357,0.2978843896228443,0.196798304107977,0.27084285252813006,0.2344744537410486
