,Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,1-DailyPurchase,2-PeriodicallyPurchase,3-Random,"1-(s,Q)","2-(s,S)","3-(R,S)",4-Random,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
703,3.0,8.0,8.0,461.0,5.0,0.0522348657259899,4.0,4.0,0.85,15.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0035112447356904,0.1072927096378446,0.0478939830210279,0.1051251348356133,0.2474400383325714,0.1394037810600657,0.5080310457717494
704,2.0,5.0,16.0,155.0,10.0,0.0532999544833864,4.0,4.0,0.85,13.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0025825730405065,0.0959693288448716,0.2269539041122396,0.0409304287457123,0.2968958951295787,0.2493160216725775,0.4128576544521312
705,2.0,1.0,18.0,492.0,13.0,0.0112289485662266,4.0,4.0,0.85,4.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0009808167503418,0.1302523040656592,0.021993645405937,0.0225578135088232,0.1321808834241652,0.4110554241598015,0.4342058789072098
706,2.0,3.0,36.0,125.0,15.0,0.0943058716431497,4.0,4.0,0.85,10.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0010380018464455,0.0681915775155922,0.0409162150514853,0.0069470882297646,0.1423591252440453,0.2601022285385898,0.5905915579876002
707,3.0,7.0,14.0,1073.0,13.0,0.0245425580336822,4.0,4.0,0.85,13.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0010502790456167,0.0803476717070343,0.0141929723767523,0.0257321364247712,0.1686596248085559,0.1225688615461163,0.6830393772205564
708,2.0,5.0,11.0,1348.0,5.0,0.0389212562585343,4.0,4.0,0.85,6.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0005546071238053,0.0788623903341755,0.0107032348853747,0.0122250410272572,0.2079062886121737,0.1472968831422143,0.6325717872183547
709,3.0,4.0,25.0,706.0,15.0,0.0181520254893036,4.0,4.0,0.85,4.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.000844949125745,0.1045334782559211,0.0076420031845001,0.0156139980054758,0.1018984843787285,0.2030601215042814,0.6794273961115143
710,2.0,6.0,35.0,522.0,8.0,0.0596904870277651,4.0,4.0,0.85,7.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0007054784319566,0.094406792374797,0.0213299387971877,0.0082405426790625,0.1838739241608697,0.2292472020304511,0.5786383311296166
711,1.0,10.0,26.0,186.0,4.0,0.0122940373236231,4.0,4.0,0.85,2.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0013618525973754,0.1442914025069568,0.5463239017588895,0.0140921606823867,0.5159520686841677,0.3486330246803571,0.1213227459530883
712,1.0,10.0,22.0,1287.0,15.0,0.0314656349567592,4.0,4.0,0.85,13.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0008425403950362,0.0653493715093823,0.0122275725444873,0.0442746778132483,0.2829547240142872,0.2245072458151667,0.4482633523572976
713,2.0,8.0,24.0,369.0,11.0,0.0602230314064633,4.0,4.0,0.85,14.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0028487679272479,0.0802929911486482,0.161542813791786,0.0528109447276992,0.239524927172662,0.2337238843508874,0.4739402437487511
714,1.0,2.0,8.0,1409.0,9.0,0.0463768775603095,4.0,4.0,0.85,13.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0020793910567564,0.0600628788777338,0.0128960743379413,0.1132043845839091,0.1985487826603595,0.1931049764276368,0.4951418563280944
715,2.0,2.0,25.0,1466.0,11.0,0.024010013654984,4.0,4.0,0.85,6.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0010168600884033,0.0592538349651999,0.0102087244255511,0.0466806595206224,0.1887157096625061,0.3216515750275101,0.4429520557893615
716,2.0,7.0,30.0,981.0,6.0,0.0325307237141556,4.0,4.0,0.85,12.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0027399762263263,0.083396277156682,0.1789695805654227,0.0826590436461087,0.2312386576055785,0.2538120846149667,0.4322902141333459
717,1.0,2.0,34.0,1282.0,4.0,0.0655484751934456,4.0,4.0,0.85,9.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0051239002019576,0.1050249769564256,0.1942652573022704,0.1541495838560133,0.1663325792894373,0.3127110623824046,0.3668067744721446
718,2.0,5.0,27.0,1257.0,10.0,0.0469094219390077,4.0,4.0,0.85,5.0,200.0,500.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0012434464922628,0.0763980175923312,0.004189564930109,0.0250129354210376,0.1597861523641699,0.1954672928364543,0.6197336193783382
719,1.0,5.0,21.0,1165.0,12.0,0.0804597177969959,4.0,4.0,0.85,9.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0009379151619482,0.0749953786786145,0.0,0.0162305078326001,0.1780129299880085,0.2028513437433627,0.6029052184360285
720,2.0,9.0,5.0,736.0,10.0,0.066613563950842,4.0,4.0,0.85,8.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.834576085356508e-05,0.0802969228688529,0.005021715482596,0.009868331964026,0.1980943258502848,0.0877146961999963,0.7043226459856927
721,2.0,4.0,4.0,614.0,6.0,0.0261401911697769,4.0,4.0,0.85,3.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0031587816701531,0.1162592639649488,0.0157429296022758,0.0519942942494389,0.1501728300763669,0.1937960020132217,0.6040368736609724
722,3.0,4.0,39.0,1318.0,10.0,0.0799271734182976,4.0,4.0,0.85,2.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0055784977893999,0.1973173867944675,0.0001505038145052,0.0257392943615413,0.0584774462614258,0.1612559990835988,0.754527260293434
723,2.0,9.0,2.0,1012.0,15.0,0.0809922621756941,4.0,4.0,0.85,0.0,200.0,500.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.1076285549683687e-05,0.049267251558959,0.003029956167521,0.0493384234205166,0.1147902591443161,0.0994484081269705,0.7364229093081966
724,3.0,4.0,37.0,863.0,4.0,0.0884478834774692,4.0,4.0,0.85,8.0,200.0,500.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0032604741292904,0.0972969890702226,0.0039319402789288,0.0669940661808805,0.0970707455333821,0.2114622780195403,0.6244729102661971
725,2.0,3.0,1.0,282.0,4.0,0.0751342740100136,4.0,4.0,0.85,13.0,200.0,500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0008931149705045,0.0888530742573508,0.060533665854786,0.0646580602303693,0.2302538398266115,0.1016117504461949,0.6034763494968243
