Fact,Distr1,Distr2,Clients_N,Demand_W,HC,Lt0,Lt1,SS_%,DS_D,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
2,6,3,1393,3,0.021217668552185657,4,4,0.85,15,200,500,"3-Random","1-(s,Q)",0.0033864205558797006,0.07533206571167282,0.09198503018889967,0.25597420524874936,0.17232416657171315,0.10239457606501295,0.46930705211452456
3,7,28,291,13,0.0971293291204106,4,4,0.85,8,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0015513060143310473,0.0719773198339215,0.030297299206564245,0.02646454114542423,0.19204488472197578,0.1834200559792701,0.5980705181533299
2,6,18,509,4,0.03667635811390675,4,4,0.85,11,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.004164548825454964,0.13311692320009158,0.1271930767799949,0.12426748878727484,0.24046540469402464,0.255947661304207,0.3793194452144935
3,4,17,784,3,0.018604140244692674,4,4,0.85,2,200,500,"3-Random","2-(s,S)",0.0006280554959636528,0.09330242520689518,0.11762407047582872,0.02719077926340044,0.3010478718738168,0.28297522695656874,0.38878612190621403
1,9,3,867,9,0.024874636406535325,4,4,0.85,12,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.00045288664330108715,0.06263262421781003,0.054453346999936175,0.08595710303832796,0.34721511481893297,0.16079448022287277,0.40603330191986636
2,5,25,1257,13,0.09838766494200404,4,4,0.85,4,200,500,"1-DailyPurchase","3-(R,S)",0.0011418741078438879,0.07288045442147677,0.0,0.010591999504109016,0.17674430147883782,0.18426098124740609,0.6284027177696471
1,2,26,102,6,0.04250406020655856,4,4,0.85,7,200,500,"2-PeriodicallyPurchase","4-Random",0.0028179138811012866,0.15899839880405828,0.48819859602677745,0.03538130102308636,0.23907074981782483,0.4816074957376244,0.2439404534214644
2,6,26,8,3,0.014438439901441832,4,4,0.85,9,200,500,"3-Random","1-(s,Q)",0.009307234695835732,0.16677580122958274,0.7345447914096609,0.010210377924751058,0.4875976656465877,0.25297941633018994,0.2492125400984713
3,8,3,556,14,0.07325596587960143,4,4,0.85,1,200,500,"3-Random","3-(R,S)",0.0001773812246872769,0.035826733918598294,0.01957083498852254,0.018433742382025588,0.12724846080091082,0.07343409081920936,0.7808837059978543
2,9,28,1357,3,0.013275759909027077,4,4,0.85,9,200,500,"3-Random","2-(s,S)",0.001457152281085022,0.12797690123608083,0.3746008315321681,0.07016626441372596,0.2978919298455178,0.2934049007732171,0.3385369049675391
2,4,16,68,7,0.09734913340337872,4,4,0.85,7,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0036688308093204545,0.12977782331198384,0.2777323167149202,0.031036541421081316,0.30773460881577314,0.2838475715756707,0.3773812781874749
1,8,3,1297,7,0.02736678908019232,4,4,0.85,7,200,500,"1-DailyPurchase","2-(s,S)",4.8580960427594705e-05,0.0640742721773846,0.009737325759454962,0.015982265494744113,0.2830751375399731,0.1219062893861365,0.5790363075791463
2,3,5,537,3,0.03567863643237018,4,4,0.85,11,200,500,"1-DailyPurchase","1-(s,Q)",0.0014138345583206756,0.0967492897031449,0.05792927108475654,0.06258946280948109,0.2014964007565312,0.16735274415960735,0.5685613922743803
2,3,11,658,11,0.07911440225060412,4,4,0.85,13,200,500,"2-PeriodicallyPurchase","4-Random",0.0027316036475936796,0.05570724209068103,0.033748099860144085,0.07112557311535601,0.17715929871406816,0.1500947020367995,0.6016204261337763
2,6,34,888,7,0.04108741699725861,4,4,0.85,4,200,500,"2-PeriodicallyPurchase","4-Random",0.001520435485572687,0.0965128845383611,0.01286557579604838,0.03375122632819661,0.21241057304152502,0.27293446609616007,0.4809037345341183
3,9,8,482,2,0.019332245149186408,4,4,0.85,12,200,500,"3-Random","3-(R,S)",0.00511227785397879,0.1563298123916128,0.603989032474519,0.16098549243785606,0.40152097876670706,0.20367689568288588,0.23381663311255102
