,"1-(s,Q)",1-DailyPurchase,"2-(s,S)",2-PeriodicallyPurchase,"3-(R,S)",3-Random,4-Random,Clients_N,DS_D,Demand_W,Distr1,Distr2,Fact,HC,K,Lt0,Lt1,MA,SS_%,lost_ratio_sales_dis,lost_ratio_sales_fac,lost_ratio_sales_ret,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_factory_MA_mean_relative,stock_retailer_MA_mean_relative
13,0.0,0.0,1.0,0.0,0.0,1.0,0.0,408.0,1.0,9.0,8.0,21.0,4.0,0.0578520978204362,200.0,4.0,4.0,500.0,0.85,0.0818421854411608,0.0218294923882115,0.0003992388470902,0.0119446220589918,0.1768241577872031,0.6486407636021732,0.1625904565516319
14,1.0,0.0,0.0,0.0,0.0,1.0,0.0,139.0,4.0,25.0,8.0,5.0,3.0,0.0472548081183559,200.0,4.0,4.0,500.0,0.85,0.0250034580438422,0.0,0.0002933293731411,0.0151496756496304,0.1801759064937645,0.7140542569568856,0.0906201608997194
15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,64.0,7.0,29.0,3.0,11.0,4.0,0.0380652362146992,200.0,4.0,4.0,500.0,0.85,0.0765112957042025,0.137669362059094,0.0006986834806985,0.0123915011496426,0.1614792784643064,0.6262268506877391,0.1999023696983117
16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,395.0,6.0,26.0,17.0,30.0,3.0,0.0960640537717755,200.0,4.0,4.0,500.0,0.85,0.0653073922566448,0.001141305067402,0.000793493233466,0.0075644435834944,0.0852330849157223,0.8460032144977591,0.0611992570030241
17,0.0,1.0,0.0,0.0,0.0,0.0,1.0,48.0,2.0,28.0,15.0,10.0,3.0,0.0239090009275357,200.0,4.0,4.0,500.0,0.85,0.1260429417106826,0.0613422173900755,0.0001007735236678,0.0024538662079754,0.3470160984059565,0.4652228361349739,0.1853071992510941
18,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0,3.0,1.0,0.0171077092958653,200.0,4.0,4.0,500.0,0.85,0.2000822342410728,0.760250952274255,0.0001250364689701,0.0014024065296048,0.3164390093400275,0.3783131854261913,0.3038453987041764
19,0.0,0.0,1.0,1.0,0.0,0.0,0.0,273.0,4.0,19.0,7.0,7.0,3.0,0.0227478779725228,200.0,4.0,4.0,500.0,0.85,0.0756350244477835,0.0459131950769732,0.0003805431906594,0.0177366256897812,0.2184212521470866,0.6301532591179396,0.1336888630451924
20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,299.0,4.0,14.0,20.0,6.0,4.0,0.060019746198404,200.0,4.0,4.0,500.0,0.85,0.0476865078133278,0.0074312885950473,3.680835839740869e-05,0.0021536285910972,0.0753341920650492,0.8843855079425766,0.0381266714012768
21,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,3.0,8.0,1.0,1.0,1.0,0.0572449448097362,200.0,4.0,4.0,500.0,0.85,0.2421736540042384,0.5845551938250149,0.0003223564254701,0.0222369432748039,0.3711093613333043,0.3863813515116295,0.2202723438802623
22,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,0.0,14.0,5.0,3.0,1.0,0.0714994778514307,200.0,4.0,4.0,500.0,0.85,0.0772979193339796,0.0539382570230899,0.0008510041381245,0.0326771456731102,0.3453539748938622,0.4097514564834438,0.2122174229495836
23,1.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,3.0,21.0,1.0,3.0,2.0,0.0985423249003175,200.0,4.0,4.0,500.0,0.85,0.0458592505141482,0.0172803736744873,0.0007140837568959,0.0333163214335765,0.1763443497777226,0.6072312179616268,0.183108110827074
24,0.0,0.0,0.0,1.0,0.0,0.0,1.0,83.0,2.0,19.0,1.0,2.0,1.0,0.0377380928744132,200.0,4.0,4.0,500.0,0.85,0.0279038737272441,0.0317954471578814,0.0004869289338041,0.0456414141698227,0.2178083560961616,0.5517648998269693,0.1847853299070463
25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,171.0,0.0,2.0,2.0,6.0,1.0,0.0445018201376924,200.0,4.0,4.0,500.0,0.85,0.0,0.0,0.0,0.0159217341262229,0.3280260886245923,0.3280260886245923,0.3280260886245923
26,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43.0,2.0,19.0,5.0,3.0,3.0,0.0437384670582185,200.0,4.0,4.0,500.0,0.85,0.1020991644972468,0.1226612378678701,0.0004301995938164,0.0175142632744865,0.3378442180086893,0.4941374194267528,0.1505040992900713
27,0.0,0.0,0.0,0.0,0.0,1.0,1.0,127.0,0.0,13.0,4.0,4.0,1.0,0.0771998034908958,200.0,4.0,4.0,500.0,0.85,0.0451550741777844,0.0291561817770125,0.0001128249762261,0.0294415811274463,0.2938240758247353,0.486087683320223,0.1906466597275951
28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,735.0,1.0,27.0,11.0,30.0,2.0,0.0523641232356457,200.0,4.0,4.0,500.0,0.85,0.0715675816542397,0.0009887410217889,0.0005406659932114,0.0047056621341063,0.1583452820615674,0.7010542736287132,0.135894782175613
29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,574.0,3.0,8.0,10.0,20.0,3.0,0.0700598992378772,200.0,4.0,4.0,500.0,0.85,0.0699703136537364,0.0027529024632207,0.0004180786175382,0.0153810431061032,0.217973469609298,0.6184779329816151,0.1481675543029836
30,1.0,0.0,0.0,1.0,0.0,0.0,0.0,771.0,2.0,20.0,6.0,16.0,3.0,0.0795583349655334,200.0,4.0,4.0,500.0,0.85,0.2520775782134375,0.0,0.0571982890140748,0.0456873510506681,0.0436453521657642,0.8137319335299689,0.0969353632535988
31,0.0,0.0,1.0,1.0,0.0,0.0,0.0,231.0,12.0,25.0,2.0,7.0,2.0,0.0452411374626246,200.0,4.0,4.0,500.0,0.85,0.06693871566738,0.0298645689976898,0.0009707240772581,0.0345829328894767,0.1835587263905942,0.6130079716444785,0.1688503690754504
32,0.0,0.0,0.0,0.0,1.0,1.0,0.0,360.0,2.0,9.0,4.0,14.0,1.0,0.0907362642772496,200.0,4.0,4.0,500.0,0.85,0.0617692569959873,0.0061427062023887,0.0005723636038625,0.024477387866615,0.2630006928886188,0.4654043590024168,0.2471175602423493
33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,182.0,2.0,8.0,2.0,7.0,2.0,0.0723880833511965,200.0,4.0,4.0,500.0,0.85,0.0682261508767607,0.0272045003132623,0.0009806680090514,0.0236106523171105,0.2906865849502971,0.4641185356468279,0.2215842270857644
34,0.0,1.0,0.0,0.0,0.0,0.0,1.0,36.0,1.0,4.0,3.0,2.0,2.0,0.0901348672554125,200.0,4.0,4.0,500.0,0.85,0.1512584898122253,0.2152661814591932,6.692096633875393e-05,0.005125270837839,0.3049987426653111,0.5087238592171147,0.1811521272797351
35,0.0,1.0,0.0,0.0,0.0,0.0,1.0,673.0,3.0,7.0,5.0,16.0,3.0,0.0710180489110291,200.0,4.0,4.0,500.0,0.85,0.0743070681837798,0.0133277524334266,0.0007003436293264,0.0044023665887834,0.1391572632625955,0.7472663246044454,0.1091740455441755
36,1.0,0.0,0.0,1.0,0.0,0.0,0.0,96.0,4.0,16.0,2.0,2.0,3.0,0.0491987588469445,200.0,4.0,4.0,500.0,0.85,0.0112612199960358,0.0140581078779809,0.0004378888368661,0.0489223437876176,0.2097483940247402,0.566039498775217,0.1752897634124251
