Fact,Distr1,Distr2,Clients_N,Demand_W,DS_D,HC,Lt0,Lt1,SS_%,K,MA,Customers_Strategy,Inventory_Policy,lost_ratio_sales_ret,lost_ratio_sales_dis,lost_ratio_sales_fac,stock_customer_MA_mean_relative,stock_distributor_MA_mean_relative,stock_retailer_MA_mean_relative,stock_factory_MA_mean_relative
2,7,27,858,23,6,0.061192261537047495,4,4,0.85,200,500,"1-DailyPurchase","3-(R,S)",0.0008998771280638081,0.070836924281967,0.0013294815193731194,0.006662689291844287,0.11778338960965945,0.12419291149789832,0.7513610096005979
2,8,11,387,16,1,0.0754766256046382,4,4,0.85,200,500,"1-DailyPurchase","4-Random",0.00014227130930074695,0.06244427080215387,0.003838916038200588,0.004655040276018178,0.17921674175513982,0.11014999369918355,0.7059782242696585
3,5,11,147,25,12,0.06865883484525807,4,4,0.85,200,500,"3-Random","2-(s,S)",0.0010689589975880524,0.05865310289076007,0.050854709230115605,0.017412027540450185,0.18506298223958823,0.13792425392586358,0.6596007362940979
3,8,17,780,20,3,0.031214782213850663,4,4,0.85,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0022723505148032935,0.07834904965215653,0.0,0.0358916856099195,0.14700658426242227,0.14496380580378607,0.6721379243238722
2,6,12,254,20,3,0.07822191473862365,4,4,0.85,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0020368825635563312,0.05911974014521658,0.0002771526675771466,0.0372469059408836,0.14632188508270272,0.13705177804030308,0.6793794309361106
4,11,14,245,22,3,0.08675136024267154,4,4,0.85,200,500,"1-DailyPurchase","4-Random",0.000349114707629459,0.0811432714996786,0.006023592365744532,0.003400597431878998,0.10831312623452063,0.0657783523412214,0.8225079239923789
2,6,17,807,22,10,0.057813502999360604,4,4,0.85,200,500,"1-DailyPurchase","2-(s,S)",0.0007050390039621299,0.05519847082044718,0.0035443655822131816,0.008355736834501075,0.11954084338378328,0.1171604903998604,0.7549429293818553
3,8,4,13,6,1,0.096640323322729,4,4,0.85,200,500,"3-Random","1-(s,Q)",6.0960741282614e-05,0.07000307460100064,0.23100682964776406,0.008286541038343621,0.30431204935407824,0.19541877537125404,0.491982634236324
1,1,3,8,11,3,0.08018458150180284,4,4,0.85,200,500,"2-PeriodicallyPurchase","4-Random",0.001696185554810461,0.1935212319030488,0.5503663648853349,0.02187341236240474,0.24878775049393168,0.2978245836861417,0.43151425345752187
3,14,29,122,8,0,0.03929398946255711,4,4,0.85,200,500,"1-DailyPurchase","1-(s,Q)",9.298712948731273e-05,0.07974088795931922,0.038295715276666135,0.0015740758137181199,0.3102648159576271,0.2140738461233531,0.4740872621053016
4,23,32,1283,28,1,0.049438139248993485,4,4,0.85,200,500,"3-Random","4-Random",0.0005499918703955443,0.053803852066055334,0.00013257901870621582,0.01451268857594168,0.1078737830603653,0.07109970892248343,0.8065138194412096
3,3,9,260,21,7,0.035228504736567204,4,4,0.85,200,500,"3-Random","3-(R,S)",0.00042466577209816087,0.04283882983358021,0.007718702793335224,0.025845777225602252,0.3146607237281665,0.24058483511058845,0.4189086639356427
1,5,3,52,21,2,0.07322135787349039,4,4,0.85,200,500,"1-DailyPurchase","3-(R,S)",0.00039348693580602807,0.08671956226501128,0.037840948373114525,0.005465289992655743,0.3034200772092493,0.1682183429921009,0.522896289805994
2,1,2,99,28,9,0.0933646560243146,4,4,0.85,200,500,"2-PeriodicallyPurchase","2-(s,S)",0.0005887510960791683,0.06602544979055588,0.020398229858080492,0.047910066724108843,0.21118395106965246,0.16410147096557764,0.5768045112406611
4,23,25,1194,27,3,0.012568125753752008,4,4,0.85,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.000772594867148216,0.07461426455153829,0.0019311851564477271,0.02006957876057548,0.24551657989161013,0.16026913708615825,0.5741447042616562
2,6,16,542,10,1,0.035452248179651855,4,4,0.85,200,500,"3-Random","4-Random",0.0006301122195132359,0.09812991672257433,0.011352946924842582,0.018631837146851116,0.22553813078641477,0.19512123475797558,0.5607087973087586
1,2,2,78,24,3,0.0611918296331599,4,4,0.85,200,500,"1-DailyPurchase","4-Random",8.744654829735324e-06,0.052380003983270265,0.010864632184066123,0.007889240958414558,0.2984998120941043,0.1308824204936335,0.5627285264538475
2,3,1,2,17,8,0.028003415366677574,4,4,0.85,200,500,"3-Random","3-(R,S)",0.0017815388041420776,0.39049633262835803,0.7770577891262977,0.00826785650606068,0.38435645040853,0.20356800530802655,0.40380768777738274
4,18,1,25,26,2,0.04956893955640011,4,4,0.85,200,500,"3-Random","3-(R,S)",0.00019947768945221593,0.0934072432553565,0.13312542791446855,0.01062247890498378,0.25917478415124856,0.1137931094503982,0.6164096274933695
2,6,7,340,2,0,0.07137984982981213,4,4,0.85,200,500,"3-Random","3-(R,S)",0.0,0.0,0.0,0.015656712090461003,0.3281144293031797,0.3281144293031797,0.3281144293031797
3,9,35,1246,17,0,0.06704243921328784,4,4,0.85,200,500,"2-PeriodicallyPurchase","3-(R,S)",0.0007119248427275557,0.056559371667404414,0.001132646884306282,0.032028651408649966,0.16441021227639577,0.16431834932327094,0.6392427869916834
4,5,11,442,6,0,0.04151956648376427,4,4,0.85,200,500,"1-DailyPurchase","2-(s,S)",0.00011169440411035407,0.072329318224101,0.030114655499449375,0.0032837706021529253,0.1981127013732118,0.16363736079013816,0.6349661672344971
3,5,18,502,20,6,0.04435182487553671,4,4,0.85,200,500,"1-DailyPurchase","3-(R,S)",0.0007138527189301417,0.0859511569607768,0.009557070003043068,0.004805392254445298,0.10994250208992423,0.10943833451784427,0.7758137711377863
4,4,1,13,18,8,0.03434786895991877,4,4,0.85,200,500,"1-DailyPurchase","4-Random",0.00028900581997927133,0.19244610147511754,0.35455192034139404,0.004791757219512779,0.30199975907365934,0.16301555242930538,0.5301929312775225
1,2,1,41,9,2,0.017534854780228346,4,4,0.85,200,500,"2-PeriodicallyPurchase","4-Random",7.056202654140227e-05,0.2618813070415401,0.38056798922254576,0.02265861137116736,0.38704260067087837,0.2079659444966174,0.3823328434613368
4,3,5,134,1,0,0.03032091169256647,4,4,0.85,200,500,"2-PeriodicallyPurchase","4-Random",0.0,0.0,0.0,0.0,0.27265383061801535,0.18176922041201024,0.5455769489699744
2,5,3,105,19,0,0.08436135403865182,4,4,0.85,200,500,"1-DailyPurchase","4-Random",6.672562528795285e-05,0.05585794772049917,0.029845957354017724,0.005123998819430672,0.16705875830966208,0.11505293562513697,0.7127643072457702
2,4,14,548,15,4,0.037911826671683316,4,4,0.85,200,500,"2-PeriodicallyPurchase","4-Random",0.0007762391508449933,0.060315697320333504,0.018210967731610867,0.030508173354096925,0.21647882644932487,0.19513406281814624,0.5578789373784321
1,5,14,461,24,10,0.09724195030699193,4,4,0.85,200,500,"2-PeriodicallyPurchase","1-(s,Q)",0.0207002404870748,0.1666879835431933,0.0,0.0737407526993958,0.10040068422857272,0.12908348150156151,0.69677508157047
3,17,55,13,1,0,0.03339840799387853,4,4,0.85,200,500,"1-DailyPurchase","1-(s,Q)",0.0,0.0,0.0,0.0,0.24285714285714285,0.02857142857142857,0.7285714285714285
